customerID,tenure,MonthlyCharges,churn_risk
7590-VHVEG,1,29.85,0.516522565570489
5575-GNVDE,34,56.95,0.14498809461768677
3668-QPYBK,2,53.85,0.48121473328975484
7795-CFOCW,45,42.3,0.12547768839469828
9237-HQITU,2,70.7,0.61302984157259
9305-CDSKC,8,99.65,0.6876777529659757
1452-KIOVK,22,89.1,0.33484179657614827
6713-OKOMC,10,29.75,0.2694007670374603
7892-POOKP,28,104.8,0.3883819897619506
6388-TABGU,62,56.15,0.05559129536197494
9763-GRSKD,13,49.95,0.19436803285315762
7469-LKBCI,16,18.95,0.09382541995202026
8091-TTVAX,58,100.35,0.2635805416211059
0280-XJGEX,49,103.7,0.30747221674420655
5129-JLPIS,25,105.5,0.39550033978206983
3655-SNQYZ,69,113.25,0.14488880037217314
8191-XWSZG,52,20.65,0.03879411371431047
9959-WOFKT,71,106.7,0.1234602522448835
4190-MFLUW,10,55.2,0.22274654468299354
4183-MYFRB,21,90.05,0.3379237070024573
8779-QRDMV,1,39.65,0.5501768755187996
1680-VDCWW,12,19.8,0.10139611490448316
1066-JKSGK,1,20.15,0.4232716310740887
3638-WEABW,58,59.9,0.07848596258455852
6322-HRPFA,49,59.6,0.12391251209073617
6865-JZNKO,30,55.3,0.14692977712681102
6467-CHFZW,47,99.35,0.3109260446972536
8665-UTDHZ,1,30.2,0.5317779349418039
5248-YGIJN,72,90.25,0.056012540044520547
8773-HHUOZ,17,64.7,0.21134463474787882
3841-NFECX,71,96.35,0.12577658782075987
4929-XIHVW,2,95.5,0.7409702308172009
6827-IEAUQ,27,66.15,0.15225752173658
7310-EGVHZ,1,20.2,0.4178803967771662
3413-BMNZE,1,45.25,0.5572263887472743
6234-RAAPL,72,99.9,0.12291928790233035
6047-YHPVI,5,69.7,0.5249811161769139
6572-ADKRS,46,74.8,0.1732577503428284
5380-WJKOV,34,106.35,0.34155712777702
8168-UQWWF,11,97.85,0.6639044420665904
8865-TNMNX,10,49.55,0.22136127568295882
9489-DEDVP,70,69.2,0.07758319471343633
9867-JCZSP,17,20.75,0.08707255045179835
4671-VJLCL,63,79.85,0.08106697865562476
4080-IIARD,13,76.2,0.4557322136162641
3714-NTNFO,49,84.5,0.1916176979342292
5948-UJZLF,2,49.25,0.5024958461348167
7760-OYPDY,2,80.65,0.686841184611524
7639-LIAYI,52,79.75,0.16218980825032808
2954-PIBKO,69,64.15,0.04835705005169223
8012-SOUDQ,43,90.25,0.21558440145197666
9420-LOJKX,15,99.1,0.5184983815603718
6575-SUVOI,25,69.5,0.20449792399268618
7495-OOKFY,8,80.65,0.5783021221186465
4667-QONEA,60,74.85,0.09019019901123558
1658-BYGOY,18,95.45,0.40966681044349834
8769-KKTPH,63,99.65,0.18752114439038592
5067-XJQFU,66,108.45,0.1592827138065905
3957-SQXML,34,24.95,0.05547401055681415
5954-BDFSG,72,107.5,0.10839838945004883
0434-CSFON,47,100.5,0.3072505281084992
1215-FIGMP,60,89.9,0.08981266807865249
0526-SXDJP,72,42.1,0.0734872524020978
0557-ASKVU,18,54.4,0.19180681494171622
5698-BQJOH,9,94.4,0.6511287963991709
5122-CYFXA,3,75.3,0.6065858222008023
8627-ZYGSZ,47,78.9,0.1744346369084803
3410-YOQBQ,31,79.2,0.28588451352150357
3170-NMYVV,50,20.15,0.040888478853613866
7410-OIEDU,10,79.85,0.5522424322866089
2273-QCKXA,1,49.05,0.5154109855870047
0731-EBJQB,52,20.4,0.044335264836439986
1891-QRQSA,64,111.6,0.151359771124649
8028-PNXHQ,62,24.25,0.02066282841837681
5630-AHZIL,3,64.5,0.42066612371412726
2673-CXQEU,56,110.5,0.2579834843893822
6416-JNVRK,46,55.65,0.13762024906107842
5590-ZSKRV,8,54.65,0.21918092484246254
0191-ZHSKZ,30,74.75,0.27363242867956744
3887-PBQAO,45,25.9,0.05560687488720114
